round,heights,series,VL,dipt,morph,г|ҥ,н|ҥ,нь|й,assim,CL,г|к,ч|с,һ|ч,б|м,к|х,һ|с,г|ҕ,final,Com,Total,SIM,ҺАКАЛЫЫ,САХАЛЫЫ,НЬУУЧЧАЛЫЫ,GROUP,POS,,ҺАКАЛЫЫ_ex,САХАЛЫЫ_ex,НЬУУЧЧАЛЫЫ_ex,Agent
,,,,,,,,,,,,,,,,,1,,23,24,96,айыылаагын,айыылааҕын,ладно уж,24,part,частица,гинини тыытыам һуога айыылаагын,кинини тыытыам суоҕа айыылааҕын,"ладно уж, не буду его трогать",
,,,,,,,,,,,,,,,,,,,,,100,айыыһыт,айыыһыт,"покровитель, оберег плодородия",24,n,духовная культура,"куобак тириитэ айыыһыт (ниж.)
ускаан тириитэ айыыһыт (верх.) ",куобах тириитэ айыыһыт,шкура зайца — оберег плодородия,1
,,,,,,,,1,,,,,,,,,,,8,9,89,аньыы,айыы,"грех; табу, запрет",24,n,духовная культура,аньыыны гыммыта,аньыыны оҥорбута ,"он нарушил запрет, согрешил",
,,,,,,,,1,,,,,,,,,,,16,18,89,аньыылаак,айыылаах,грешный,24,adj,духовная культура,таӈара уолун аньыылаак һиргэ ыыппыта,таҥара уолун аньыылаах сиргэ ыыппыта,бог послал своего сына на грешную землю,
,,,,,,,,1,,,,,,,,,1,,15,18,83,аньыыргаа ,айыырҕаа,"считать греховным, бояться греха",24,v,духовная культура,албынныырын аньыыргаабат этэ,сымыйалыырын айыырҕаабат этэ,он не побоялся соврать,
,,,,,,,,,,,,,,,,,,,,,100,анньар,анньар,"колоть, втыкать",25,v,инструменты,билээгэ таньак анньан кээстэ,туойга тайах анньан кэбистэ,он воткнул посох в глину,
,,,,,,,,,,,,,,,,,,,,,100,анньыы,анньыы,пешня,25,n,"рыбалка, инструменты",анньыыннан бууһу аллар,анньыынан мууһу аллар,он долбит лёд пешнёй,
,,,,,,,,,,,,,,,,,,,,,0,,арчы,обряд окуривания,26,n,духовная культура,,,,
,,,2,,,,,,,,,,,,,,,,10,12,83,алас,аалыаc,обряд окуривания,26,n,духовная культура,,,,
,,,,,,,,,,,,,,,,,,,,,0,,арчылаа,"окуривать, очищая, освящая",26,v,духовная культура,,,,
,,,2,,,,,,,,,,,,,,,,16,18,90,аластаа,аалыастаа,"окуривать, очищая, освящая",26,v,духовная культура,төгүрүччү аластыыр,төгүрүччү аалыастыыр,он окуривает кругом,
,,,,,,,,,,,,,,,,,,,,,100,албын,албын,"обман, хитрость",27,n,качества человека,албын кистэллиэ һуога,албын кистэллиэ суоҕа,ложь не спрячешь,
,,,,,,,,,,,,,,,,,,,,,100,албыннаа,албыннаа,"обманывать, мошенничать",27,v,качества человека,минигин албынныаӈ һуога,миигин албынныаҥ суоҕа,меня не обманешь,
,,,,,1,,,,,,,,,,,,,1,18,24,75,албынньак,албынньыт,"лгун, лжец, обманщик",27,n,качества человека,албынньак тыла кууран түһүөгэ,албынньыт тыла кууран түһүөҕэ,у обманщика язык отсохнет ,1
,,,,,,,1,,,,,,,,,,,,17,18,94,аалыннаа,аалыҥнаа,медленно двигаться,28,v,глаголы движения,үөр аалыннаан иһэр,үөр аалыҥнаан иһэр,стадо медленно двигается,
,,,,,1,,,,1,,,,,,,,,,12,15,80,аартас,ааттас,"умолять, упрашивать",29,v,отношения,һир иччитигэр аартаһар,сир иччитигэр ааттаһар,он умоляет духа земли,
,,,,,,,,,,,,,,,,,,,,,100,аас,аас,проходить,30,v,глаголы движения,"аас, коройон турума","аас, хоройон турума","проходи, не стой столбом",
,,,,,,,,,,,,,,,,,,,,,100,ааһааччы,ааһааччы,прошедший,30,adj,"глаголы движения, время",ааһааччы ый,ааһааччы ый,прошедший месяц,
,,,,,,,,,,,,,,,,,,,,,100,аат,аат,"имя, слава",31,n,общество,ньууччалыы аата тугуй?,нууччалыы аата тугуй?,что это значит по-русски?,
,,,,,,,,,,,,,,,,,,,,,100,аата,аата,"раз, если",31,conj,союз,билбэт аата һаӈарсыма,билбэт аата мөккүһүмэ,"раз не знаешь, не спорь",
,,,,,,,,,,,,,,,,,,,,,100,ааттаа,ааттаа,"назвать, дать имя",31,v,общество,эһэтин аатынан ааттаа,эһэтин аатынан ааттаа,назови его именем деда,
,,,,,,,,,,,,,,,,,,1,14,15,93,ааттаак,ааттаах,известный,31,adj,общество,ааттаак һуруксут,ааттаах суруйааччы,известный писатель,
,,,,,,,,,,,,,,,,,,,,,100,ааттан,ааттан,заслужить имя,31,v,общество,улаатан үрдүк ааттанаар,улаатан үрдүк ааттанаар,"когда вырастешь, сделай себе имя",
,,,1,,,,,,,,,,,,,,,,11,12,92,ааймаа,аймаа,вспугнуть,32,v,охота,абааһыны ааймаабыта,абааһыны аймаабыта,он вспугнул злого духа,
,,,,,,,,,,,,,,,,,,,,,100,кыра,кыра,маленький,33,adj,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,0,кырадаай,,"мошка, мошкара",33,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,,оҥоойу,"мошка, мошкара",33,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,,аччыгый,маленький,33,adj,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,0,күччүгүй <sup>эвенк</sup>,,маленький,33,adj,физические качества,,,,
,,,,,,,,,,,,,,,,,,,,,0,,аччыгый,маленький,33,adj,физические качества,,,,
,,,,,s,,,,,,,,,,,,,,,,80,кырадаай,кыракый,маленький,33,adj,физические качества,кырадай ааймак һүүрэн кэллэ,кыракый аймах сүүрэн кэллэ,малышня сбежалась,
,,,,,,,,,,,,,,,,,,,,,100,аат <sup>рус</sup>,аат <sup>рус</sup>,ад,34,n,духовная культура,аат уола,аат уола,чертов сын,
,,,,,,,,,,,,,,,,,1,,11,12,92,агын,аҕын,скучать,35,v,эмоции и чувства,минигин актагын дуо?,миигин ахтаҕын дуо?,ты по мне скучаешь?,
,,,,,,,,,,,,,,,,,,,,,100,абааһы,абааһы,злой дух,36,n,духовная культура,ойун абааһыны батар,ойуун абааһыны үтэйэр,шаман прогоняет злого духа,
,,,,,,,,,,,,,,,,,,,,,100,абааһы көр ,абааһы көр ,ненавидеть,36,v.cmp,эмоции и чувства,,,,
,,,,,,,,,,,,,,,,,,,,,50,,абалан,раздражаться,37,v,эмоции и чувства,,абаланан абыраныаҥ суоҕа,"раздражаясь, себе не поможешь",
,,,,,,,,,,,,,,,,,,,,,100,абар,абар,раздражаться,37,v,эмоции и чувства,бэйэбиттэн абарабын,бэйэбиттэн абарабын,от себя самого раздражаюсь,
,,,,,,,,,,,,,,,,,,,,,50,,абалаа,"дразнить, раздражать",37,v,эмоции и чувства,,абалаан тылын таһаарбыта,"он высунул язык, дразнясь",
,,,,,,,,,,,,,,,,,,,,,100,абарт,абарт,"дразнить, раздражать",37,v,эмоции и чувства,абардымаӈ минигин,абардымаҥ миигин,не дразните меня,
,,,,,,,,,,,,,,,,,,,,,0,абалаа,үөх,"материть, ругать матом",37,v,эмоции и чувства,догорун абалаан ыыппыта,доҕорун үөҕэн ыыппыта,он послал друга матом,
,,,,,,,,,,,,,,,,,,,,,0,абалас,үөҕүс,"материться, ругаться матом",37,v,эмоции и чувства,улакан киһилэр иннилэригэр абалаһыма,улахан киһилэр иннилэригэр үөҕүһүмэ,не матерись перед взрослыми,
,,,,,,,,,,,,,,,,,,,,,0,кыйӈан,кыыһыр,"сердиться, злиться",37,v,эмоции и чувства,кыраттан кыйӈанар,кыраттан кыыһырар,он сердится по пустякам,
,,,,,r,,,,,,,,,,,,,,15,21,71,кыйӈан,кыйахан,"сердиться, злиться",37,v,эмоции и чувства,гини бэрт кыйӈаммыт,кини наһа кыйахаммыт,он очень рассержен,
,,,,,,,,,,,,,,,,,,,,,0,,киҥнэн,"сердиться, злиться",37,v,эмоции и чувства,,,,
,,,,,,,,,,,,,,,1,,,,23,24,96,абалакаан <sup>эвенк</sup>,абалахаан <sup>эвенк</sup>,двухлетний самец домашнего оленя,38,n,оленеводство,иккилээк таба аата абалакаан,иккилээх таба аата абалахаан,двухлетнего оленя зовут абалакаан,
,,,,,,,,,,,,,,,,,,,,,0,амаркана <sup>эвенк</sup>,,пятилетний самец домашнего оленя,38,n,оленеводство,биэстээк таба аата амаркана,,пятилетнего оленя зовут амаркана,
,,,,,,,,,,,,,,,,,,,,,0,тыыннастыбыт таба,,"олень-целитель, лечащий дыханием",38,n.cmp,"оленеводство, духовная культура",тыыннастыбыт таба тыынынан эмтиир көрдүк,,олень-целитель может лечить дыханием,
,,,,,,,,,,,,,,,,,,,,,100,"аттаа <sup>Тюрк, Тунг</sup>","аттаа <sup>Тюрк, Тунг</sup>",кастрировать,39,v,оленеводство,,,,
,,,,,,,,,,,,,,,,,,,,,0,актамии <sup>эвенк</sup>,,"кастрированный, холощёный",39,adj,оленеводство,актамии атыыр эмис багайы,,холощёный олень очень жирный,
,,,,,,,,,,,,,,,,,,,,,0,,"ат <sup>Тюрк, Тунг</sup>","кастрированный, холощёный",39,adj,коневодство,,,,
,,,,,,,,,,,,,,,,,,,,,0,,"аттакы <sup>Тюрк, Тунг</sup>","скопец, кастрат",39,n,духовная культура,,аттакы дэриэбинэтэ,скопческая деревня,1
,,,,,,,,,,,,,,,,,1,,11,12,92,алгаа,алҕаа,"благословить, пожелать удачи",40,v,духовная культура,алгыы-алгыы килиэптэри ууга бырагаттыыр,алгыы-алгыы килиэптэри ууга быраҕаттыыр,"благословляя, он бросал хлебцы в воду",
,,,,,s,,,,,,,,,,,,1,1,13,24,54,алгаактаа,алҕаталаа,"благословлять, заговаривать",40,v,духовная культура,киһи аайы алгаактаан барда,киһи аайы алҕаталаан барда,"благословив каждого, он ушел",
,,,,,,,,,,,,,,,,,,,,,100,алгыс,алгыс,"благопожелание, благословение",40,n,духовная культура,алгыс ырыата ылла,алгыс ырыата ылла,спой песню-благопожелание,
,,,,,,,,,,,,,,,,,,,,,100,алаӈаа <sup>эвенк</sup>,алаҥаа <sup>эвенк</sup>,лук (оружие),41,n,охота,алаӈаа кирсэ,алаҥаа кирсэ,тетива лука,
,,,,,,,,,,,,,,,,,,,,,100,алдьан,алдьан,"ломаться, разбиться, портиться",42,v,,һыргабыт алдьаммыта,сыарҕабыт алдьаммыта,наши нарты сломались,
,,,,,,,,,,,,,,,,,,,,,100,алдьат,алдьат,"ломать, разбить, портить",42,v,,ким чокоону алдьаппытый,ким куруусканы алдьаппытый,кто разбил кружку,
,,,,,,,,,,,,,,,1,,,,22,24,92,алдьаркай,алдьархай,"беда, несчастье, бедствие",43,n,,алдьаркай буолла,алдьархай буолла,случилась беда,
,,,,,,,,,,,,,,,1,,,,30,33,91,алдьаркайдаак,алдьархайдаах,"гибельный, страшный",43,adj,,алдьаркайдаак һэрии,алдьархайдаах сэрии,гибельная война,
,,,,,,,,,,,,,,,,,,,,,0,"алка (ниж.), халка (верх.) <sup>эвенк</sup>",,молоток,44,n,инструменты,алканнан тэйгэни һаайан киллэрэр,,он забивает гвоздь молотком,
,,,,,,,,,,,,,,,,,,,,,0,,өтүйэ,молоток,44,n,инструменты,,,,
,,,,,,,,,,,,,,,,,,,,,100,аллар,аллар,"долбить, рубить, колоть (лёд)",45,v,инструменты,ойбону алларбыта,ойбону алларбыта,он продолбил прорубь,
,,,,,,,,,,,,,,,,,,,,,100,аллара,аллара,"вниз, внизу",46,adv,наречие,һүүрэ-һүүрэ аллара түстэ,сүүрэ-сүүрэ аллара түстэ,он бегом спустился вниз,
,,,,,,,,,,,,,,,,,,,,,0,аллараа,илин,"восток
низовье (һакалыы) 
перед (сахалыы)",46,n,природа,аллараа диэки көһө сылдьар,илин диэки көһө сылдьар,он идет на восток,
,,,,,,,,,,,,,,,,,,,,,50,анны,алын өт,низовье,46,n,природа,Носкуо үрэк аннытынан олороллор,Хатанга өрүс алын өттүгэр олороллор,они живут в низовьях реки Хатанга,
,,,,,,,,,,,,,,,,,,,,,0,аллараагы,илиҥҥи,"восточный
низовской (һакалыы) 
передний (сахалыы)",46,adj,природа,,,,
,,,,,r,,,,,,,,,,,,,,6,9,67,эм,эмп,лекарство,47,n,организм,оттон оӈоһуллубут эм,оттон оҥоһуллубут эмп,"лекарство, cделанное из трав",
,,,,,,,,,,,,,,,,,,,,,100,эмтээ,эмтээ,лечить,47,v,занятия,,,,
,,,,,,,,,,,,,,,,,,,,,100,эмтэн,эмтэн,лечиться,47,v,занятия,,,,
,,,,,,,,,,,,,,,,,,,,,100,эмчит,эмчит,"лекарь, врач",47,n,занятия,таба эмчитэ,таба эмчитэ,"ветеринар, лечащий оленей",1
,,,,,,,,,,,,,,,,,,,,,0,амаһа,,блюдо из варёного мелкорубленного оленьего мяса и костного жира,48,n,еда,амаһаны астыыры агыйах киһи билэр,амаһаны астыыры аҕыйах киһи билэр,мало кто умеет готовить амаһа,
,,,,,,,,,,,,,,,,,,,,,100,амтан,амтан,вкус,49,n,вкус,ыарыйдаккына амтаны билбэккин,ыарыйдаххына амтаны билбэккин,"когда болеешь, ты не чувствуешь вкус",
,,,,,,,,,,,,,,,,,,1,23,24,96,амтаннаак,амтаннаах,имеющий какой-то вкус,49,adj,вкус,һытыган амтаннаак,сытыган амтаннаах,тухлый на вкус,
,,,,,,,,,,,,,,,,,,,,,100,"амтай, амтаһый (ниж.)
амсай (верх.)","амтаһый
амсай",пробовать на вкус,49,v,вкус,"бу аһы амтаһыйан көр, үчүгүөй дуу, һуок дуу","бу аһы амсайан көр, үчүгэй дуу, суох дуу","попробуй эту еду, хорошая она или нет",
,,,,,,,,,,,,,,,,,,,,,100,алтан,алтан,"медь, медный",50,n,природа,алтан комуос,алтан хомуос,медный ковш,
,,,,,,,,,,,,,,,,,,,,,100,үүкү,үүкү,пелядь,51,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,,быраҥаатта,пелядь,51,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,100,алыһар,алыһар,окунь,51,n,животные,алыһар үрэк балыга,алыһар өрүс балыга,окунь — речная рыба,
,,,,,,,,,,,,,,,,,1,,14,15,93,дьарҕаа,дьаргаа,хариус,51,n,животные,,,,
,,,,,,,,,,,,,,,,1,,,17,18,94,һордоӈ,сордоҥ,щука,51,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,куокаа,сордоҥ,щука,51,n,животные,манна куокаалар буолааччылар,манна сордоҥҥор буолааччылар,здесь водятся щуки,
,,,,,,,,,,,,,,,,,,,,,100,майагас,майаҕас,сиг,51,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,100,муӈур,муҥур,чир,51,n,животные,,,,
,,,,,,,,,,,,,,,,1,,,20,21,95,һыалаһар,сыалыһар,налим,51,n,животные,,,,
,,,,,,,,,,,,,,,,,,,,,0,аматтан,олох,"совсем, совершенно, абсолютно",52,part,частица,туок да һуок буо аматтан,олох туох да суох,совсем ничего нет,
